Halogen_group,Type,Feature,Total_samples,Mean_abs_importance
Cl_1,MSMS,,136751,4.504990150028622e-05
Cl_1,NeutralLoss,,175125,1.4731592350618723
Cl_1,Precursor,Exact_mass,184653,0.12965894680359197
Cl_1,Precursor,KMD,184653,0.1277977030441487
Cl_1,Precursor,ion_mode,134754,0.49300390781223846
Cl_1,Precursor,iso,184653,15.020755458785533
Cl_2,MSMS,,60509,1.6540237209825232e-05
Cl_2,NeutralLoss,,63474,1.4310154723380923
Cl_2,Precursor,Exact_mass,67141,0.10166418302518317
Cl_2,Precursor,KMD,67141,0.08572716150852894
Cl_2,Precursor,ion_mode,46644,0.04790281026791292
Cl_2,Precursor,iso,67141,13.271374969126152
Cl_3,MSMS,,15743,6.130951253399266e-05
Cl_3,NeutralLoss,,15240,1.3148621813988104
Cl_3,Precursor,Exact_mass,16220,0.04205458259023948
Cl_3,Precursor,KMD,16220,0.013615493857953579
Cl_3,Precursor,ion_mode,11420,0.030141178039660897
Cl_3,Precursor,iso,16220,23.5216421391832
Cl_4,MSMS,,4229,3.489164856201984e-05
Cl_4,NeutralLoss,,4080,1.3292491648711393
Cl_4,Precursor,Exact_mass,4308,0.0369097758689851
Cl_4,Precursor,KMD,4308,0.0094072371721267
Cl_4,Precursor,ion_mode,2424,0.0318963791769329
Cl_4,Precursor,iso,4308,26.20018863574309
Cl_5,MSMS,,915,4.124003029911799e-05
Cl_5,NeutralLoss,,638,0.9984162205065285
Cl_5,Precursor,Exact_mass,924,0.0297455839425711
Cl_5,Precursor,KMD,924,0.0086631669110549
Cl_5,Precursor,ion_mode,187,0.0475131910752484
Cl_5,Precursor,iso,924,25.1183118955333
Cl_6,MSMS,,1399,1.808010398532085e-05
Cl_6,NeutralLoss,,1330,1.360528486563746
Cl_6,Precursor,Exact_mass,1430,0.0327528696793775
Cl_6,Precursor,KMD,1430,0.0164950551686586
Cl_6,Precursor,ion_mode,750,0.0490255324840545
Cl_6,Precursor,iso,1430,23.42310315906689
Cl_7,MSMS,,323,8.980925238169384e-06
Cl_7,NeutralLoss,,336,2.0492808705284467
Cl_7,Precursor,Exact_mass,336,0.023810918132463995
Cl_7,Precursor,KMD,336,0.0156976848485923
Cl_7,Precursor,ion_mode,216,0.0332667606848257
Cl_7,Precursor,iso,336,30.047408474992555
Br_1,MSMS,,58569,1.9674879679592494e-05
Br_1,NeutralLoss,,88600,1.290261979388328
Br_1,Precursor,Exact_mass,92355,0.037184143412333226
Br_1,Precursor,KMD,92355,0.10606025062728522
Br_1,Precursor,ion_mode,66580,0.2773224180007561
Br_1,Precursor,iso,92355,18.53350069642085
Br_2,MSMS,,8087,1.6680072762253582e-05
Br_2,NeutralLoss,,10155,1.5220751851224812
Br_2,Precursor,Exact_mass,10825,0.22710803567537252
Br_2,Precursor,KMD,10825,0.260538662907433
Br_2,Precursor,ion_mode,6995,0.20033428611032789
Br_2,Precursor,iso,10825,10.866344852590004
Br_3,MSMS,,985,1.2810460201979824e-05
Br_3,NeutralLoss,,1060,1.2105947384294458
Br_3,Precursor,Exact_mass,1220,0.227039436238711
Br_3,Precursor,KMD,1220,0.0663019357646097
Br_3,Precursor,ion_mode,440,0.1185461418195204
Br_3,Precursor,iso,1220,22.75120285398368
Br_4,MSMS,,904,1.4359444643543885e-05
Br_4,NeutralLoss,,1100,2.1401917201822434
Br_4,Precursor,Exact_mass,1184,0.36120981702933436
Br_4,Precursor,KMD,1184,0.09942659806158086
Br_4,Precursor,ion_mode,444,0.5674267180331118
Br_4,Precursor,iso,1184,20.161244694143058
Br_5,MSMS,,349,1.605465623915708e-05
Br_5,NeutralLoss,,436,3.604779974036258
Br_5,Precursor,Exact_mass,502,0.571037255138515
Br_5,Precursor,KMD,502,0.13245741767712316
Br_5,Precursor,ion_mode,98,0.9686635647501264
Br_5,Precursor,iso,502,24.816713035339884
