ID,FJ_1,FJ_10,FJ_2,FJ_3,FJ_4,FJ_5,FJ_6,FJ_7,FJ_8,FJ_9,GD_1,GD_10,GD_11,GD_12,GD_13,GD_14,GD_2,GD_3,GD_4,GD_5,GD_6,GD_7,GD_8,GD_9,GX_1,GX_2,GX_3,GX_4,GX_5,GX_6,GX_7,GX_8,HB_1,HB_2,HB_3,HB_4,HB_5,HB_6,HB_7,HB_8,HB_9,HN_1,HN_10,HN_2,HN_3,HN_4,HN_5,HN_6,HN_7,HN_8,HN_9,JS_1,JS_10,JS_11,JS_2,JS_3,JS_5,JS_6,JS_7,JS_8,JS_9,LN_1,LN_2,LN_3,LN_4,LN_5,LN_6,LN_7,LN_8,SD_1,SD_10,SD_11,SD_12,SD_13,SD_14,SD_15,SD_16,SD_17,SD_18,SD_19,SD_2,SD_20,SD_21,SD_22,SD_23,SD_24,SD_25,SD_26,SD_3,SD_4,SD_5,SD_6,SD_7,SD_8,SD_9,SH_1,SH_2,SH_3,SH_4,SH_5,SH_6,TJ_1,TJ_2,TJ_3,ZJ_1,ZJ_10,ZJ_11,ZJ_12,ZJ_14,ZJ_15,ZJ_16,ZJ_17,ZJ_18,ZJ_19,ZJ_2,ZJ_20,ZJ_21,ZJ_22,ZJ_23,ZJ_24,ZJ_25,ZJ_26,ZJ_27,ZJ_28,ZJ_29,ZJ_3,ZJ_30,ZJ_31,ZJ_32,ZJ_33,ZJ_34,ZJ_35,ZJ_36,ZJ_37,ZJ_38,ZJ_4,ZJ_5,ZJ_6,ZJ_7,ZJ_8,ZJ_9
L1_ID0052,0.015519522714334395,0,0,0.0349923936594311,0,0,0,0.45024499295722664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002268360540606164,0,0,0.0021880424354269196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004390353091059571,0,0,0,0,0,0,0.01072378802554105,0.005546817470166802,0,0,0,0.005337936579743861,0,0,0,0,0,0.005876316479287017,0,0,0,0,0,0,0.016173805577176258,0,0.032150801061749903,0,0.02253011253269859,0,0,0,0.008448344877166045,0.0062363568583176515,0,0,0,0,0,0,0,0,0.04882795318072474,0.08626143660695056,0,0.07174113580014095,1,0,0,0,0,0,0.10898837898159373,0,0,0,0,0.04444497776445285,0.005393889921718032,0.019515687518516983,0.0716128282751424,0,0.043490657960861795,0,0,0,0.031360742460238414,0,0,0,0.035624435800798215,0,0,0,0,0.026921141730631364
L1_ID0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003721554976878232,0,0,0.0009270155294770885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0052728785682991195,0,0,0,0,0,0.5418397127126671,0.6299390679369711,0.08970006913737825,0,0,0.1096079049601637,0,0,0.08972155110847731,0,0.10506147655153901,0,0,0,0.0782875203233502,0,0,0,0,0,0,0,0.060677805888579926,0,0,0,0.3268817016405565,0,0,0,0,0,0.5899762451059347,0,0,0,0
L1_ID0054,0.04881278810599861,0.03819499090846538,0.02766546162962464,0.04545739480806516,0.025213426733845447,0.045803451409822275,0.02802387276621775,0.07460142795166212,0.028760539308443123,0.01707389089255641,0.009450663471880415,0.1332419482821977,0.4256985426704321,0.05540493227953516,0.42475861438765855,0.15016971596640377,0,0.01865828897672167,0.0025583146816267064,0.014102769187871707,0,0.02214127844642607,0.0029888890927326772,0.040743837624362,0.013858271971269678,0.0650259600401921,0.12481620508706255,0.03807121680772454,0.024829021701707872,0.046455125004941054,0.056592740454742656,0.13406824763232136,0.04073895376103075,0.05656668937110297,0.08774917691843337,0.03182525123721488,0.019875158235646916,0.02101788503539745,0.027187597906019007,0.019077317587971456,0.03370160789133493,0.009243532956691013,0.10548129134928036,0.008247017053703495,0.09674550480221399,0.18113717627573067,0.02566443683420857,0.010842765632754705,0.13282700671348588,0.010228497817580286,0.05599509054690241,0.13666559366549888,0.044510318013389887,0.029037381158563098,0.06353518839924086,0.09911948938564552,0.09181975691002991,0.04569018848098171,0.1011441538333531,0.26053782917772605,0.07323647774526038,0.03544627179979689,0.012625845644176464,0.011882511923184097,0.017406887639636555,0.016594570778792665,0.017073185572715442,0.004847499327773003,0.001812128108866857,0.14447470668149712,0.13561226520245623,0.30030927382892203,0.09117230379633791,0.04402315169296282,0.051234890752742956,0.04573967143350028,0.1055885685908219,0.2365031062743301,0.04845773772313422,0.01929225332502261,0.16570713049231417,0.10235302629029763,0.0663629338304153,0.28725080020632854,0.026326650195275234,0.10767445480072557,0.10839258477502234,0.0654500593292175,0.030096533275968337,0.06651324701987499,0.05780801035327176,0.12926415788135523,0.08052140231675531,0.11041636471352394,0.053682804293127086,0.15531420451024056,0.21183724030199708,0.029961698997613168,0.04219341096152129,0.0900192774206394,0.06535614885179725,0.14024221339095697,0.06306486206658439,0.20539975180061673,0.5477513579961341,0.4147316045265399,0.9348808462398477,0.4481954243179763,0.13070325435947136,0.5973623813476651,0.6351018881404518,0.12829806032621188,1,0.2547076782475152,0.6187410908572737,0.23232521854087457,0.16083982502089883,0.3941440732515144,0.7089942752124164,0.24006330157884284,0.1349655364713036,0.2859354435160961,0.27743851258003893,0.15983800686647545,0.14890073500884998,0.8562321176638806,0.4295001022370641,0.35200791519838137,0.15933927040312634,0.0752849400656562,0.5137951715801458,0.36237692511903663,0.1627087472226411,0.36626730161007515,0.2648329143809729,0.2522244034015906,0.5787434625619583,0.33599283901346844,0.18277121553281125,0.21053509024921932,0.09346421965059812
L1_ID0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06427259477549037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025769094978989254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022531751277622712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028405571798679453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1_ID0056,0.0954926899692837,0.04465960998444345,0.07427355808210241,0.07491534985531595,0.008830884300553293,0,0.030302789104548915,0.026195202028432917,0.05111702034992913,0.061948321110051566,0,0.07850803198842278,0.23375823665829865,0.08807109870588728,0.05894645646609755,0.19576455237541027,0.3735825616980861,0.3072417298187304,0.12010312074450127,0,0.3693558151881133,0.8834784909813059,0.2568013856302823,0.09159910368570008,0.08539422330625986,0.2835075990552386,0.09931999973415104,0.1937056688723508,0,0.157029863872992,0.11087574393103888,0.15060074636433962,0.5875094604225112,0,1,0.7614694560166351,0,0.08251634855065286,0.24089320370781836,0.14102116275837512,0.2616484729265263,0.4898718773806931,0,0.2312468660101444,0.12605627706885383,0.9003995654244953,0.08396824341237472,0.17518909602158217,0.68452123712047,0.2895479356396633,0,0.19358268804267464,0.0566878479575271,0.2302682459846359,0.2735343129230973,0.06745726487817968,0.06897859354673921,0.09674866385357601,0.10639602631676591,0.08688263175406445,0.011056773253927803,0.3909398659057284,0.1057505399858137,0.5025936126973499,0,0,0,0.10985448390696416,0,0.026711929379371214,0.7248479251715286,0,0,0,0.2930055375782488,0.4930808495126772,0,0,0,0,0.0583640744548501,0,0.4224203964420971,0.2258949144406094,0,0,0,0,0,0,0.13904236559308392,0,0.2672005773539105,0,0.23857915030133464,0.16783072101569377,0.20312403513838811,0.0338617011916786,0.2894021730924312,0.09451640474507506,0.05404574336339031,0.025285589644848467,0.3208865109468287,0.030786361608427106,0,0.2267388422731217,0,0,0.5568522856252107,0.9509314577025473,0.2012463540784276,0,0.7100505382333862,0.07901628241342626,0,0.4512806166242071,0.09828484037261996,0.21535258676814775,0.7140563011066945,0,0,0.5630972423383264,0,0,0.06666344734711983,0,0.1682344492847794,0.029745028618362625,0,0.44444446434331913,0,0.5353260676704746,0.7748336331364127,0,0,0.07833881195784935,0,0.12009898177856063,0,0.05862682747451428,0
L1_ID0057,0,0,0,0,0,0,0,0.003377406074235183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10103092113524458,0,0.06214182581489067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07252714452616875,0,0,0,0,0,0,0,0,0,0.029615159955429803,0,0,0,0,0.022566899286020133
L1_ID0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009626127674334437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005772489249536162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029977048099993184,0,0,0,0,0,0,0,0,0,0,0.000490171429710769,0.0007959411978817674,0.0008048998976915227,0.004381160597500553,0.009515569176041537,0.0023909859311869908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001499181418321136,0,0,0,0,0.0018791455505775116,0,0.008760455705263188,0,0.3206677641400403,0,0,0.05012975005585615,0.3016374454202543,0.16051956683140325,0.1240875859520855,0.2705158857614682,0.12336913841077278,0.48961862403482215,0,0.003464593900866253,0.01143544192689695,0.03514113674924336,0.21137147883105215,0.07285409159123996,0.0053468321176007175,0.001480671127800357,0,0,1,0.0005849515501975291,0,0,0,0,0,0,0,0,0.2451109507178802,0.3135900778580555,0.3046752329487122,0.1433013860216126,0.07051810926812434,0.09001187216375132
L1_ID0059,0,0,0,0,0,0,0,0,0,0,0,0.8885379401464427,0.015004917093143477,0.008937463417114046,0.00786679014352819,0.0030908177370243496,0,0.010835599666040984,0.008713385190842976,0.7389959709422684,0.006137676671465757,0.019963583997875664,0.3054533440649265,0.016818518379227185,0,0,0,0,0,0,0,0,0,0.04317471905373961,0.02847383826406667,0.03041039447804773,0,0.024884483546247907,0.03001381998669934,0.019496145977095074,0,0.014340967382325372,0,0,0,0,0,0.02384020383820298,0.008676264118335246,0.013761994798302767,0.02166463299614581,0,0,0,0,0,0,0,0,0,0,0.009785371156630428,0.016464429576348378,0.013146381829762153,0,0,0,0,0,0.011698494406098168,0.09258270556555181,0.004227796053018938,0.014801791918347846,0.013776334940005724,0.008101645325530555,0.005659696864078033,0.0021056477020887747,0,0,0,0.014449001433029796,0,0,0,0.010492046899912977,0,0.017362570218165556,0.0654366954249028,0.4059302527890759,0.022711737033623173,0.013748803477895822,0.015319764276497692,1,0.058709878698454794,0.01375125061675259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2a_ID0153,0.27560320547797734,0.04113878860508895,0.08280991553677046,0.19626905944130246,0.04596093458588645,0.23616192053373794,0,0.24705248755743797,0.012885408871005671,0.17704807804668707,0.03867968377377704,0,0.1415733228871648,0.4372407752153507,0.13089700326380027,0,0,0.0022793864491883866,0,0.004156015742228282,0,0.025262377320585817,0.1778637470232992,0,0.07128438195191215,0.3103918021755395,0.2551610293659897,0.009509255729403985,0.7861636741874707,0.10450040505933332,0.0895922221455891,0.05953585408716096,0.26389081969833056,0.422360933922251,0.5317024831281599,0.1941996265852635,0.0694873383129807,0,0.20399562662499607,0.06097650033418111,0.04949846465698428,0,0.10947744438530628,0,0.008372690579423173,0.09840810825933449,0.32880591800066694,0.007124351581605468,0.09366044062322938,0.03459167004669076,0.022101212898051555,0.35313531685528643,0.15680263915491385,0.1831886625783563,0.14117246505090633,0.1016549080493458,0.06281814496885726,0.8737377119005008,0.16823065009625876,0.1365105364780738,0.05623472563458701,0.11723551859894839,0.0057268328542136645,0,0.12513264193005294,0.13806503005130638,0.06173486734856884,0.006219679980360789,0.04751253200983313,0.006200455327888624,0.06944418672892724,0.17385858002824245,0.3339428768294879,0.2795324966610992,0,0.12593651548609155,0.19270821886677755,0.3008641612668956,0.21679248277956797,0.5605243619901721,0.17197206017581435,0.023737981846153337,0.12731241335290708,0.07812728425467567,0.04511795366248283,0.006052505785415035,0.09528886791273844,0.15152125863567523,0,0.03233417657796243,0.292300857280479,0.022751487075908086,0.06792406959640736,0.045643280962420325,0.2165583037801915,0.03276750352008673,0.07550066722407363,0.5211307040459745,0.05153481122126099,0.05686811884920925,0.016312675235327298,0.16568555451394182,0.3915892400573402,0.32865868495231365,0.8985090722867435,0.10764959035281274,0.3374868965981748,0.08682867281386439,0.16190630468414127,0.6036416215449275,0.514191427937064,0.13169927616769667,0.10164244521434648,0.16630997569936096,0.549540271859746,0.23411523139975077,0.1380978986461839,0.4001999434131582,0.23585115992224842,0.12031015603588961,0.04413546797657639,0.17938456385006188,0.1489940110496104,0.21099613319092222,0.06272838422072667,0.21053456660802955,0.42916515929187415,0.28750122205023276,0.8411200442633874,0.38076408481957,0.07710920874572216,0.10334207658835724,0.6179643298428378,1,0.22186510226963613,0.30451688266418214,0.7147011342156921,0.37358958858085706,0.15059828358868446,0.015405094119202335,0.07381176607578532
L2a_ID0074,0,0,0,0,0,0,0,0,0,0,0,0,0.04606780935970396,0,0.04251021870349504,0,0,0.00251282530508424,0,0.0014362899895162334,0,0.0015535359025849696,0,0,0,0,0.017764414432712892,0,0,0,0,0.014437416954263671,0,0,0,0,0,0,0,0,0,0,0,0,1,0.009755117889372151,0,0,0.005111858021477365,0,0,0,0,0,0,0,0,0,0.047570879410376916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012766104412124031,0,0,0.010656178486238746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023714375896517145,0,0,0,0,0,0.005980435561401248,0,0,0.09650361282005285,0,0,0,0,0.008145027757656569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
