ID,IUPAC_Name,SMILES,Formula,CAS,CID,Identification_Confidence,Plasma_Detection_Number,Plasma_Detection_Rate,Seafood_Detection_Number,Seafood_Detection_Rate,PBT_QSAR_Label,PBT_GAT_Prob,PBT_GAT_Label,PBT_CNN2D_Prob,PBT_CNN2D_Label,Ensemble_PBT_Label,Has_Literature_Record,Max_Tanimoto_Similarity(Norman_Pollutant_Type),Pollutant_Type,First_PBT_Report,First_Environmental_and_Human_Detection,Plasma_mean,Seafood_mean,Factor
1,2-tert-butyl-6-(5-chlorobenzotriazol-2-yl)-4-methylphenol,Cc1cc(-n2nc3ccc(Cl)cc3n2)c(O)c(C(C)(C)C)c1,C17H18ClN3O,3896115,62531,level 1,23,0.1186,128,0.9078,0,0.90753734,1,0.92133284,1,1,1,1,Industry and consumer goods,1,0,3316079.492753623,1721129.8654439065,1.926687555
3,[2-butyl-5-chloro-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,C22H23ClN6O,114798264,3961,level 1,1,0.0052,48,0.3404,0,6.622431e-07,0,0.7917503,1,1,1,1,Pharmaceuticals,1,0,102399233.33333334,196677.9630850841,520.6441623
10,"[(8S,9R,10S,11S,13S,14S,16S,17R)-9-chloro-11-hydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate",CCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,C25H33ClO6,5534189,62965,level 1,24,0.1237,96,0.6809,0,0.22449528,0,0.0552291,0,0,1,1,Transformation and metabolic products,1,0,2518520.633569445,839872.9644849192,2.99869235
21,"7-chloro-N-methyl-1'-(2-phenylethyl)spiro[2,3,4,9-tetrahydropyrido[3,4-b]indole-1,4'-piperidine]-3-carboxamide",CNC(=O)C1Cc2c([nH]c3cc(Cl)ccc23)C2(CCN(CCc3ccccc3)CC2)N1,C25H29ClN4O,,44535938,level 2a,72,0.3711,116,0.8227,0,0.03601521,0,0.006912851,0,0,0,0.3766233766233766,Transformation and metabolic products,1,1,175553.95833333334,2110159.18148616,0.083194652
22,2-chloro-N-(5-(2-fluorobenzamido)pentyl)-6-methylbenzamide,Cc1cccc(Cl)c1C(=O)NCCCCCNC(=O)c1ccccc1F,C20H22ClFN2O2,,,level 2a,102,0.5258,28,0.1986,0,0.7974763,1,0.09081542,0,1,0,0.4565217391304347,Food and other consumption,1,1,229504.5261437909,85626.23920666068,2.68030604
23,N-(1-adamantyl)-1-(5-chloropentyl)indazole-3-carboxamide,O=C(NC12CC3CC(CC(C3)C1)C2)c1nn(CCCCCCl)c2ccccc12,C23H30ClN3O,2160555520,129514129,level 2a,1,0.0052,115,0.8156,1,0.71623695,1,0.48046038,0,1,0,0.8113207547169812,Pharmaceuticals,1,1,584329.6666666667,13083939.590031104,0.044660071
33,"benzyl (1S)-4-[(E)-1-[(4R,5R,8R,9R,10R,13S,14R,15R)-13-(2-chloroethylamino)-4,9,10-trimethyl-15-prop-1-en-2-yl-2,3,5,6,7,8,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-4-yl]-4,4-dimethylpent-2-en-3-yl]-1-(fluoromethyl)cyclohex-3-ene-1-carboxylate",C=C(C)[C@@H]1CC[C@]2(NCCCl)CC[C@]3(C)[C@H](CC[C@@H]4[C@@](C)(C/C=C(/C5=CC[C@](CF)(C(=O)OCc6ccccc6)CC5)C(C)(C)C)CCC[C@]43C)[C@@H]12,C47H69ClFNO2,,155393458,level 2b,68,0.3505,81,0.5745,1,0.9468217,1,0.9281467,1,1,0,0.3043478260869565,Pharmaceuticals,1,1,2924920.7352941176,1171537.6836943645,2.496651005
36,"(2E)-2-[(2E,4Z,6E)-4-chloro-7-(3-dec-9-enyl-1,1-dimethylbenzo[e]indol-3-ium-2-yl)hepta-2,4,6-trienylidene]-3-dec-9-enyl-1,1-dimethylbenzo[e]indole",C=CCCCCCCCCN1/C(=C/C=C/C(Cl)=C/C=C/C2=[N+](CCCCCCCCC=C)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,C55H68ClN2,,58783056,level 2b,8,0.0412,138,0.9787,1,0.9592581,1,0.78243345,1,1,0,0.6282051282051282,Industry and consumer goods,1,1,2808888.125,1803750.422424688,1.557248769
38,"6-[3,6-bis(2,4,4-trimethylpentan-2-yl)carbazol-9-yl]-4-chloro-6-methyl-2-phenyl-4-(2,4,4-trimethylpentan-2-yl)cyclohex-2-en-1-ol",CC(C)(C)CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)CC(C)(C)C)ccc1n2C1(C)CC(Cl)(C(C)(C)CC(C)(C)C)C=C(c2ccccc2)C1O,C49H70ClNO,,175088539,level 2b,135,0.6959,92,0.6525,1,0.99663246,1,0.9841989,1,1,0,0.3432835820895522,Industry and consumer goods,1,1,64214113.64197531,919529.2570080636,69.83368191
39,"N-tert-butyl-6-[(2E)-2-[(2E)-2-[3-[(E)-2-[1-[6-(tert-butylamino)-6-oxohexyl]-3,3-dimethylindol-1-ium-2-yl]ethenyl]-2-chlorocyclopentylidene]ethylidene]-3,3-dimethylindol-1-yl]hexanamide",CC(C)(C)NC(=O)CCCCCN1/C(=C/C=C2\CCC(/C=C/C3=[N+](CCCCCC(=O)NC(C)(C)C)c4ccccc4C3(C)C)C2Cl)C(C)(C)c2ccccc21,C49H70ClN4O2,,168817673,level 2b,81,0.4175,99,0.7021,1,0.96976274,1,0.8173219,1,1,0,0.4941176470588235,Industry and consumer goods,1,1,686205.8641975309,2832272.8985324097,0.242280984
41,"[3a-[2-[[4-chloro-2-[(dimethylamino)methyl]phenyl]methylamino]ethyl]-5a,5b,8,8,11a-pentamethyl-2-oxo-1-propan-2-yl-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-9-yl] 4-amino-3,3-dimethyl-4-oxobutanoate",CC(C)C1=C2C3CCC4C5(C)CCC(OC(=O)CC(C)(C)C(N)=O)C(C)(C)C5CCC4(C)C3(C)CCC2(CCNCc2ccc(Cl)cc2CN(C)C)CC1=O,C47H72ClN3O4,,123924087,level 2b,7,0.0361,141,1,1,0.8314964,1,0.7954447,1,1,0,0.3518518518518518,Pharmaceuticals,1,1,784086.9047619047,14227086.119230105,0.055112262
48,"1-[5-[[1-adamantylmethyl(2,3-dihydroxypropyl)amino]methyl]-5,13-dihydroxy-6,10-dimethyl-17-tricyclo[13.2.2.02,6]nonadeca-1(17),9,15,18-tetraenyl]-2-(2-chloro-6-fluorophenyl)ethanone",CC1=CCCC2(C)C(CCC2(O)CN(CC(O)CO)CC23CC4CC(CC(C4)C2)C3)c2ccc(cc2C(=O)Cc2c(F)cccc2Cl)CC(O)CC1,C44H59ClFNO5,,5068472,level 2b,1,0.0052,141,1,1,0.8331752,1,0.048156656,0,1,0,0.2790697674418604,Transformation and metabolic products,1,1,83823.33333333334,2672247.466494777,0.031368103
