ID,IUPAC_Name,SMILES,Formula,CAS,CID,Identification_Confidence,Plasma_Detection_Number,Plasma_Detection_Rate,Seafood_Detection_Number,Seafood_Detection_Rate,PBT_Detection_Rate>0.5,PBT_QSAR,PBT_Prob_GAT,PBT_Pred_GAT,PBT_Prob_CNN2D,PBT_Pred_CNN2D,PBT_Label,First_PBT_Identification,First_Environmental_and_Human_Detection,Tanimoto_Match_Source,Max_Tanimoto_Similarity,Tanimoto_Match>0.6,Pollutant_Type,SMILES_clean
2,2-butyl-5-chloro-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazole-4-carboxylic acid,CCCCc1nc(Cl)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,C22H21ClN6O2,124750921,108185,level 1,1,0.0052,0,0,0,0,5.543155e-09,0,0.21203849,0,0,0,0,Norman_Human metabolites.csv,1,1,Transformation and metabolic products,CCCCc1nc(Cl)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
3,[2-butyl-5-chloro-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,C22H23ClN6O,114798264,3961,level 1,1,0.0052,48,0.3404,0,0,6.622431e-07,0,0.7917503,1,1,0,0,"Norman_Pharmaceuticals.csv;Norman_Food contact chemicals.csv;Norman_Human metabolites.csv;Norman_Drinking water chemicals.csv;Norman_Persistent, mobile and toxic substances.csv",1,1,Pharmaceuticals,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
4,4-[4-[[4-chloro-3-(trifluoromethyl)phenyl]carbamoylamino]-3-fluorophenoxy]-N-methyl-1-oxidopyridin-1-ium-2-carboxamide,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)cc[n+]1[O-],C21H15ClF4N4O4,835621119,53491674,level 1,2,0.0103,0,0,0,0,0.9766639,1,0.43088162,0,1,0,1,Norman_Pharmaceuticals.csv,0.6811594202898551,1,Pharmaceuticals,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)cc[n+]1[O-]
5,4-[4-[[4-chloro-3-(trifluoromethyl)phenyl]carbamoylamino]-3-fluorophenoxy]-N-methylpyridine-2-carboxamide,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,C21H15ClF4N4O3,755037037,11167602,level 1,6,0.0309,0,0,0,1,0.9805138,1,0.71207845,1,1,0,0,Norman_Pharmaceuticals.csv,1,1,Pharmaceuticals,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1
6,5-chloro-N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-2-methoxybenzamide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,C23H28ClN3O5S,10238218,3488,level 1,1,0.0052,0,0,0,0,0.028791973,0,0.01810725,0,0,0,0,Norman_Pharmaceuticals.csv;Norman_Human metabolites.csv;Industrial_chemical.csv;Norman_Drinking water chemicals.csv;Norman_Human neurotoxins.csv,1,1,Pharmaceuticals,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
7,"5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-(trifluoromethylsulfonyl)pyrazole-3-carbonitrile",N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,C12H4Cl2F6N4O2S,120068362,3078139,level 1,65,0.3351,0,0,0,1,0.039982043,0,0.13564932,0,1,0,0,Industrial_chemical.csv;Norman_Human metabolites.csv;Norman_Plant protection products.csv,1,1,Pesticides,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F
8,"2-(6-chloro-1,1,2,2,3,3,4,4,5,5,6,6-dodecafluorohexoxy)-1,1,2,2-tetrafluoroethanesulfonic acid",O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C8HClF16O4S,73606196,22568738,level 1,194,1,0,0,1,0,0.99790955,1,0.99738944,1,1,0,0,EPA_PFAS.csv;Norman_Per- and polyfluoroalkyl substances.csv,1,1,Industry and consumer goods,O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
9,tris(1-chloropropan-2-yl) phosphate,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,C9H18Cl3O4P,98112324,26176,level 1,194,1,0,0,1,0,0.8844236,1,0.9481261,1,1,1,0,"Norman_Indoor environment substances.csv;Norman_Food contact chemicals.csv;Norman_Human metabolites.csv;Industrial_chemical.csv;Norman_Drinking water chemicals.csv;Norman_Persistent, mobile and toxic substances.csv;Norman_Plastic additives.csv",1,1,Industry and consumer goods,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl
10,"[(8S,9R,10S,11S,13S,14S,16S,17R)-9-chloro-11-hydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate",CCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,C25H33ClO6,5534189,62965,level 1,24,0.1237,96,0.6809,1,0,0.22449528,0,0.0552291,0,0,0,0,Norman_Human metabolites.csv,1,1,Transformation and metabolic products,CCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C
11,"ethyl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-ylidene)piperidine-1-carboxylate",CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,C22H23ClN2O2,79794755,3957,level 1,4,0.0206,0,0,0,0,0.001473792,0,3.584341e-05,0,1,0,0,Norman_Pharmaceuticals.csv;Norman_Human metabolites.csv;Industrial_chemical.csv;Norman_Drinking water chemicals.csv;Norman_Human neurotoxins.csv,1,1,Pharmaceuticals,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
