ID,IUPAC_Name,SMILES,Formula,CAS,CID,Identification_Confidence,Plasma_Detection_Number,Plasma_Detection_Rate,Seafood_Detection_Number,Seafood_Detection_Rate,PBT_Detection_Rate>0.5,PBT_QSAR,PBT_Prob_GAT,PBT_Pred_GAT,PBT_Prob_CNN2D,PBT_Pred_CNN2D,PBT_Label,First_PBT_Identification,First_Environmental_and_Human_Detection,Tanimoto_Match_Source,Max_Tanimoto_Similarity,Tanimoto_Match>0.6,Pollutant_Type,SMILES_clean
1,2-tert-butyl-6-(5-chlorobenzotriazol-2-yl)-4-methylphenol,Cc1cc(-n2nc3ccc(Cl)cc3n2)c(O)c(C(C)(C)C)c1,C17H18ClN3O,3896115,62531,level 1,23,0.1186,128,0.9078,1,0,0.90753734,1,0.92133284,1,1,0,0,Norman_Indoor environment substances.csv;Norman_Food contact chemicals.csv;Norman_Human metabolites.csv;Industrial_chemical.csv;Norman_Drinking water chemicals.csv;ECHA_candidate-list-of-svhc-for-authorisation-export_SMILES.csv;Norman_Plastic additives.csv,1,1,Industry and consumer goods,Cc1cc(-n2nc3ccc(Cl)cc3n2)c(O)c(C(C)(C)C)c1
10,"[(8S,9R,10S,11S,13S,14S,16S,17R)-9-chloro-11-hydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate",CCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,C25H33ClO6,5534189,62965,level 1,24,0.1237,96,0.6809,1,0,0.22449528,0,0.0552291,0,0,0,0,Norman_Human metabolites.csv,1,1,Transformation and metabolic products,CCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C
20,[cyano-(3-phenoxyphenyl)methyl] 2-(4-chlorophenyl)-3-methylbutanoate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,C25H22ClNO3,51630581,3347,level 2a,0,0,34,0.2411,0,1,0.3957888,0,0.27586228,0,1,1,0,Norman_Biocides.csv;Norman_Human metabolites.csv;Industrial_chemical.csv;Norman_Drinking water chemicals.csv;Norman_Human neurotoxins.csv;Norman_Plant protection products.csv,1,1,Pesticides,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1
21,"7-chloro-N-methyl-1'-(2-phenylethyl)spiro[2,3,4,9-tetrahydropyrido[3,4-b]indole-1,4'-piperidine]-3-carboxamide",CNC(=O)C1Cc2c([nH]c3cc(Cl)ccc23)C2(CCN(CCc3ccccc3)CC2)N1,C25H29ClN4O,,44535938,level 2a,72,0.3711,116,0.8227,1,0,0.03601521,0,0.006912851,0,0,0,1,Norman_Human metabolites.csv,0.3766233766233766,0,Transformation and metabolic products,CNC(=O)C1Cc2c([nH]c3cc(Cl)ccc23)C2(CCN(CCc3ccccc3)CC2)N1
22,NAN,Cc1cccc(Cl)c1C(=O)NCCCCCNC(=O)c1ccccc1F,C20H22ClFN2O2,,,level 2a,102,0.5258,28,0.1986,1,0,0.7974763,1,0.09081542,0,1,0,1,Norman_Plastic additives.csv;Norman_Food contact chemicals.csv,0.4565217391304347,0,Food and other consumption,Cc1cccc(Cl)c1C(=O)NCCCCCNC(=O)c1ccccc1F
23,N-(1-adamantyl)-1-(5-chloropentyl)indazole-3-carboxamide,O=C(NC12CC3CC(CC(C3)C1)C2)c1nn(CCCCCCl)c2ccccc12,C23H30ClN3O,2160555520,129514129,level 2a,1,0.0052,115,0.8156,1,1,0.71623695,1,0.48046038,0,1,0,1,Norman_Human metabolites.csv;Norman_Drugs of abuse.csv,0.8113207547169812,1,Pharmaceuticals,O=C(NC12CC3CC(CC(C3)C1)C2)c1nn(CCCCCCl)c2ccccc12
30,"10,15,20-tribromo-2-(3-bromophenyl)-21,22-dihydroporphyrin",Brc1cccc(-c2cc3cc4ccc([nH]4)c(Br)c4nc(c(Br)c5nc(c(Br)c2[nH]3)C=C5)C=C4)c1,C26H14Br4N4,,174825247,level 2b,0,0,1,0.0071,0,0,0.9720008,1,0.9594729,1,1,0,1,Industrial_chemical.csv,0.3703703703703703,0,Industry and consumer goods,Brc1cccc(-c2cc3cc4ccc([nH]4)c(Br)c4nc(c(Br)c5nc(c(Br)c2[nH]3)C=C5)C=C4)c1
31,"(2Z)-1-[(2S)-1-[(2R)-2-[(1R)-1-(4-chlorophenyl)propyl]-5,5-dimethyl-4-methylidenehexanoyl]-4-[[hydroxy-[(2S)-oxolan-2-yl]methyl]-(4-methylcyclohexyl)amino]pyrrolidin-2-yl]-6-methyl-2-pentylhepta-2,6-dien-1-one",C=C(C)CC/C=C(/CCCCC)C(=O)[C@@H]1CC(N(C2CCC(C)CC2)C(O)[C@@H]2CCCO2)CN1C(=O)[C@H](CC(=C)C(C)(C)C)[C@@H](CC)c1ccc(Cl)cc1,C47H73ClN2O4,,174329983,level 2b,0,0,45,0.3191,0,1,0.16218616,0,1.6470209e-05,0,1,0,1,Norman_Indoor environment substances.csv;Industrial_chemical.csv;Norman_Personal care products.csv;Norman_Human metabolites.csv,0.2708333333333333,0,Personal care products,C=C(C)CC/C=C(/CCCCC)C(=O)[C@@H]1CC(N(C2CCC(C)CC2)C(O)[C@@H]2CCCO2)CN1C(=O)[C@H](CC(=C)C(C)(C)C)[C@@H](CC)c1ccc(Cl)cc1
32,"N-[3-[1-(4-chlorophenyl)ethenyl]-5-[2-[2-[5-[3-formyl-2-[[methyl-(6-methyl-2-oxohept-6-en-3-yl)amino]methyl]phenyl]pentyl]-3,4-dihydropyrazol-4-yl]ethynyl]-4-methylthiophen-2-yl]-N-ethanimidoylpropanimidamide",C=C(C)CCC(C(C)=O)N(C)Cc1c(C=O)cccc1CCCCCN1CC(C#Cc2sc(N(C(C)=N)C(=N)CC)c(C(=C)c3ccc(Cl)cc3)c2C)C=N1,C45H55ClN6O2S,,166682960,level 2b,0,0,5,0.0355,0,1,0.003571354,0,0.7227064,1,1,0,1,Industrial_chemical.csv,0.2251655629139073,0,Industry and consumer goods,C=C(C)CCC(C(C)=O)N(C)Cc1c(C=O)cccc1CCCCCN1CC(C#Cc2sc(N(C(C)=N)C(=N)CC)c(C(=C)c3ccc(Cl)cc3)c2C)C=N1
33,"benzyl (1S)-4-[(E)-1-[(4R,5R,8R,9R,10R,13S,14R,15R)-13-(2-chloroethylamino)-4,9,10-trimethyl-15-prop-1-en-2-yl-2,3,5,6,7,8,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-4-yl]-4,4-dimethylpent-2-en-3-yl]-1-(fluoromethyl)cyclohex-3-ene-1-carboxylate",C=C(C)[C@@H]1CC[C@]2(NCCCl)CC[C@]3(C)[C@H](CC[C@@H]4[C@@](C)(C/C=C(/C5=CC[C@](CF)(C(=O)OCc6ccccc6)CC5)C(C)(C)C)CCC[C@]43C)[C@@H]12,C47H69ClFNO2,,155393458,level 2b,68,0.3505,81,0.5745,1,1,0.9468217,1,0.9281467,1,1,0,1,Norman_Pharmaceuticals.csv,0.3043478260869565,0,Pharmaceuticals,C=C(C)[C@@H]1CC[C@]2(NCCCl)CC[C@]3(C)[C@H](CC[C@@H]4[C@@](C)(C/C=C(/C5=CC[C@](CF)(C(=O)OCc6ccccc6)CC5)C(C)(C)C)CCC[C@]43C)[C@@H]12
