ID,Sample1,Sample10,Sample100,Sample101,Sample102,Sample103,Sample104,Sample105,Sample106,Sample107,Sample108,Sample109,Sample11,Sample110,Sample111,Sample112,Sample113,Sample114,Sample115,Sample116,Sample117,Sample118,Sample119,Sample12,Sample120,Sample121,Sample122,Sample123,Sample124,Sample125,Sample126,Sample127,Sample128,Sample129,Sample13,Sample130,Sample131,Sample132,Sample133,Sample134,Sample135,Sample136,Sample137,Sample138,Sample139,Sample14,Sample140,Sample141,Sample142,Sample143,Sample144,Sample145,Sample146,Sample147,Sample148,Sample149,Sample15,Sample150,Sample151,Sample152,Sample153,Sample154,Sample155,Sample156,Sample157,Sample158,Sample159,Sample16,Sample160,Sample161,Sample162,Sample163,Sample164,Sample165,Sample166,Sample167,Sample168,Sample169,Sample17,Sample170,Sample171,Sample172,Sample173,Sample174,Sample175,Sample176,Sample177,Sample178,Sample179,Sample18,Sample180,Sample181,Sample182,Sample183,Sample184,Sample185,Sample186,Sample187,Sample188,Sample189,Sample19,Sample190,Sample191,Sample192,Sample193,Sample194,Sample2,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample3,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample4,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample5,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample6,Sample60,Sample61,Sample62,Sample63,Sample64,Sample65,Sample66,Sample67,Sample68,Sample69,Sample7,Sample70,Sample71,Sample72,Sample73,Sample74,Sample75,Sample76,Sample77,Sample78,Sample79,Sample8,Sample80,Sample81,Sample82,Sample83,Sample84,Sample85,Sample86,Sample87,Sample88,Sample89,Sample9,Sample90,Sample91,Sample92,Sample93,Sample94,Sample95,Sample96,Sample97,Sample98,Sample99
L1_ID0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1_ID0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1_ID0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002308394886276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1_ID0009,2.365509898484326e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4057954914736166e-05,0,0,0,0,1,0.00067763904723,0.0001513493054464,5.115928831928185e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1_ID0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1_ID0015,0,0,0,0,0,0,0,0.1025619358088637,0,0.0896125241519645,0.032365916967264,0.0498497127676214,0,0.0760335301212396,0.0565361947203262,0.1846623667110573,0.1220269134331984,0.0348757199685727,0.0765282491004388,0.0847436762157965,0.0524255183400488,0.0251349996040274,0.035772629379411,0,0.1191529808751705,0.1244764196430172,0.111660091005898,0,0.0751921796670209,0,0.1563999456363613,0,0.1231444633045009,0.0458703122194032,0,0.0582611741687944,0.0775335334674863,0.0719869847734621,1,0.0717414539218826,0,0.084146601770645,0,0,0.0944711188450403,0,0.1489789893459795,0.0359970719054361,0.0851315029907294,0.2824266534898907,0.0897587079420763,0.0717079860923123,0,0.1167215358174095,0.0796495894112399,0.0563149348824682,0,0.0552315821509141,0.1127136760845207,0.1679201292097392,0.0448597216060027,0.5631654258240497,0.1613028191098829,0.1570395077619624,0.0984790751042763,0.1565305779594399,0.1292640513832482,0,0.1370475177327479,0.086494261959121,0.084834035601834,0.168129569932652,0.2736781059969116,0.0696769323223321,0.1031992563781821,0.1357889857689276,0,0,0,0,0.0249332085941225,0,0.0527605666534161,0,0,0,0.0335887797645426,0,0,0,0,0,0,0,0.0701674309551329,0.1092389528169777,0.0883310510929828,0.125629105104665,0,0,0,0.0377375465139016,0,0,0.0310798884009565,0.0635348428795602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1_ID0021,0.0803867569535628,0.1061891134258012,0.2448051776303688,0.1398399953101168,0.0206217758544852,0.0532209611061391,0.4700337976694479,0.0880601883847628,0.2675882078071446,0.1698602421007898,0.0052451314751364,0.1043615267438431,0.0224008038452736,0.1883144459972301,0.2209700035416621,0.0393362938518757,0.2282744874002576,0.2493154502691607,0.0389918966744169,0.1112727792515004,0.409305105354335,1,0.1884353266141099,0.0278146615394616,0.0187969071305502,0.5945715641244302,0.1562730890236687,0.4637671976811594,0.1249176731302004,0.383946968492796,0.5075385254228076,0.1738585750360411,0.0849662037199767,0.1400762350025169,0.120407934507282,0.0127358182242706,0.1506655663406672,0.4747805242377558,0.5742330092653882,0.3120939375295114,0.1409430190532927,0.0871326298310429,0.1130788463652202,0.4924361195760288,0.1200960692371208,0.255772954717708,0.2521394533552023,0.15017118207372,0.0221895195112984,0.5494036106427874,0.4599554432343161,0.0375012040780274,0.1564780748311352,0.3616363058515133,0.463415611801736,0.1987292581715338,0.0824934730050162,0.0532283752450504,0.2080592656478479,0.3927294818070709,0.0402878578395786,0.1026288836589057,0.2091849583946566,0.8279895201500612,0.1926820115606435,0.0770152095918272,0.4127846513733753,5.495461398867082e-05,0.1094844363789174,0.7338323499098504,0.1408721220887453,0.2762724444200213,0.7774205564216886,0.3216775898776721,0.0791796661220263,0.291335709888234,0.145008570901379,0.1907633815295746,0.0734346537029525,0.0478043855532613,0.1652530618095254,0.2008552643668366,0.2002434601810238,0.0815339311246187,0.2399136939458342,0.3570248244900174,0.2225263659665449,0.4049994119579809,0.1375696026359997,0.0196119170709177,0.0911540745109055,0.3888630288771783,0.7232543091930268,0.0569312285976776,0.0173203195071704,0.0078685774299962,0.0261040481738083,0.0632475875711849,0.0092765762379647,0.0532528700445842,0.0108974359982019,0.0304902368206457,0.0052130070827423,0.0035109101577393,0.0358024582615643,0.0089707408970425,0.0781323072260042,0.0059070723610786,0.024345012600953,0.055447827860895,0.0232701069887864,0.0551474439320154,0.0107877243441777,0.2079063209587265,0.0405007807758326,0.0252368286458022,0.076459783416666,0.0636020595302583,0.0266303859798566,0.0275083780066455,0.2376363196797034,0.0394609120087038,0.0485036729823612,0.0818812194477264,0.0328103450713253,0.1507325348838947,0.1019315331175972,0.0324849005403791,0.1057712205754102,0.0143924141360467,0.000891420847276,0.0089438522019921,0.5224595091608744,0.041546879579153,0.1342305539545695,0.0247013680685805,0.040129483989076,0.029289896283511,0.1718612412369398,0.0223948629186802,0.0084847157267829,0.0625455218390761,0.0857569095807653,0.0377223597589988,0.3028166372479522,0.0236272881055676,0.0180577401588924,0.0568232302445812,0.0461853587036735,0.0020654998426285,0.0182024536926293,0.1407800344733818,0.0553291181797096,0.0279965161950715,0.0285041840758318,0.0217153764239339,0.1509391859025503,0.0327565366147319,0.0654070713268947,0.0415120987657212,0.0217323780835335,0.0979731075630638,0,0.0296279283314768,0.0551816273052553,0.0338148407874125,0.094585921165031,0.0670023657228515,0.1404892093640723,0.043099271210851,0.0702087958433477,0.2121731077885008,0.0519775543145343,0.0783280812596518,0.0436412105176221,0.0860122073123197,0.0822460473451396,0.0442212566522875,0.0990944923483925,0.1994703959160584,0.3237707161390097,0.0245681124303649,0.0281217774419557,0.012620133856994,0.0698540130517229,0.1262758280726369,0.0547959826538125,0.093730251493457,0.0571995143581569,0.0858592453888691,0.0218421088095531,0.2530477380681523,0.0553678271971697,0.1329858344484422
L1_ID0028,0.7627614775266346,0.8371033201834296,0.8281267089009164,0.5464782473131623,0.741199334423551,0.6906940693229114,0.6353997972492671,0.5102919665329018,0.4101171003543554,0.5137713368570713,0.4761041464906833,0.4507875457791593,0.8348692502966929,0.4189936071667702,0.4565110892271957,0.3806955476578741,0.498080164633519,0.492221565770039,0.4759341176667369,0.5390372745084518,0.2996410059102209,0.326663013869246,0.5374070713208106,0.7990784593256278,0.492257299470031,0.5257632762812616,0.4939932522920779,0.4496808378405299,0.5456593442618957,0.4413987752965502,0.5907511266072724,0.5303405075158226,0.1688322028994044,0.4738095176588973,0.8385755183842326,0.5667387713867512,0.239036862395906,0.1556656304037663,0.2734930048560768,0.2899447471983712,0.2653488920190051,0.3538041154422796,0.4270404977296616,0.3532173000077644,0.1637594689661153,0.8738584493279675,0.2450102998329579,0.1903431300030797,0.1538132838664651,0.2505161925628615,0.1422626936517501,0.1990140125263725,0.4605720825405963,0.5236407497956652,0.1937359653322977,0.0849413500345643,0.7913283243544492,0.0021467694164903,0.215544339201767,0.1650108741986193,0.140076540272152,0.2311937645108218,0.2606444307555497,0.2986064783176401,0.2171369468392354,0.0806618382339721,0.2120926849582489,0.839244246587032,0.3364039375461666,0.1338121055874504,0.5101230435874852,0.2008060541250992,0.2413243030172487,0.1407063078559684,0.260868701625428,0.6149429797366508,0.4177793179824203,0.4872812607906853,0.8047773278589697,0.1177666202505832,0.3988492003388031,0.0859494754684218,0.2899476393299167,0.2501231002637598,0.1593892443688384,0.2066852154174915,0.2255946064783522,0.4313899525458019,0,1,0.4458810511351234,0.4847691626739628,0.2317509199375824,0.2326422925912506,0.3209601225299587,0.4684637008461724,0.0852047764345164,0.2304652324706567,0.0404282148284124,0.2059850128749747,0.7562990871292404,0.1788143808893269,0.1649868397431075,0.4141333401460058,0.297522724788624,0.3863235190098489,0.8471126388515811,0.9005324908796771,0.7766389519395646,0.7836123333828762,0.8446163254229353,0.8978938206453888,0.907525884404539,0.855873620236181,0.9073801849082468,0.8291922228643134,0.4299887353312233,0.7905851739824693,0.8740114985966445,0.8644828802703072,0.7359310630228856,0.7141724234483883,0.8436694169318522,0.8418881922074943,0.7884673474806243,0.6230407752706139,0.7709230684282816,0.7525092232645291,0.7665440901112679,0.7375952071777461,0.9352876516627088,0.7435612144934263,0.7708075041219247,0.7333611438744425,0.7056319309154918,0.7935337684026503,0.6428747758187667,0.7373531580145509,0.8690952231481872,0.8196375438192488,0.961275111121137,0.7336790839517404,0.7243841749093424,0.7271642844156807,0.8104616946961227,0.6427473924356233,0.7608122283831655,0.7338205672861381,0.8397453452039141,0.8905545886654138,0.7862369468642905,0.6490091531405987,0.618530726156734,0.7470669358294371,0.6540212019895688,0.816909859002993,0.848784727188536,0.7545756264147415,0.7867248285048071,0.6781910066657606,0.6986128507698742,0.6492053774622181,0.6671222684616722,0.6681393311219852,0.8348746414545254,0.9000453332440106,0.5803086612380529,0.575022216278893,0.7339264551553599,0.706550224799618,0.8090527233723219,0.5794258937016943,0.7071846081303447,0.6003613492654604,0.7223886171024408,0.720590804200137,0.6990105523361291,0.6067059817427576,0.6702565355671573,0.6788451338160971,0.8083503522711258,0.6632015834867315,0.775979974475114,0.6037338640766945,0.713415034890338,0.6564904213942362,0.6364409127676017,0.65778768602702,0.6698331223250861,0.3985705880667188,0.5759902055794492,0.7696376384237011,0.6987581355617177,0.714304368580467
L1_ID0030,0,0.0802621276199762,0,0,0,0,0.0744328420932856,0,0,0.0761543662356604,0,0,0,0,0,0,0,0,0,0,0.0275762485729213,0,0,0,0.0109804314364289,0,0.0677322005846899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355684427066145,0,0,0,0,0,0.0277091824017576,0.0244070633951959,0,0,0.0639212599668473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049132710690711,0,0,0,0,0,0.0621877475491107,0,0,0,0.0284931151799697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224056551863608,0,0,0,0,0,0.0374812673520072,0,0,0,0,0,0,0,0.0663099640536141,0,0,0.6164128402856311,0.0483790874317849,0.2444860259869023,0,0,0,0.0311768044610301,0,0,0,0,0,0,0,0,0.0554228403041103,0,0,0,0.0209766469129192,0.0573469755631018
L1_ID0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3688100244478782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1162774342539775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3111696876684248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
