ID,FJ_1,FJ_10,FJ_2,FJ_3,FJ_4,FJ_5,FJ_6,FJ_7,FJ_8,FJ_9,GD_1,GD_10,GD_11,GD_12,GD_13,GD_14,GD_2,GD_3,GD_4,GD_5,GD_6,GD_7,GD_8,GD_9,GX_1,GX_2,GX_3,GX_4,GX_5,GX_6,GX_7,GX_8,HB_1,HB_2,HB_3,HB_4,HB_5,HB_6,HB_7,HB_8,HB_9,HN_1,HN_10,HN_2,HN_3,HN_4,HN_5,HN_6,HN_7,HN_8,HN_9,JS_1,JS_10,JS_11,JS_2,JS_3,JS_5,JS_6,JS_7,JS_8,JS_9,LN_1,LN_2,LN_3,LN_4,LN_5,LN_6,LN_7,LN_8,SD_1,SD_10,SD_11,SD_12,SD_13,SD_14,SD_15,SD_16,SD_17,SD_18,SD_19,SD_2,SD_20,SD_21,SD_22,SD_23,SD_24,SD_25,SD_26,SD_3,SD_4,SD_5,SD_6,SD_7,SD_8,SD_9,SH_1,SH_2,SH_3,SH_4,SH_5,SH_6,TJ_1,TJ_2,TJ_3,ZJ_1,ZJ_10,ZJ_11,ZJ_12,ZJ_14,ZJ_15,ZJ_16,ZJ_17,ZJ_18,ZJ_19,ZJ_2,ZJ_20,ZJ_21,ZJ_22,ZJ_23,ZJ_24,ZJ_25,ZJ_26,ZJ_27,ZJ_28,ZJ_29,ZJ_3,ZJ_30,ZJ_31,ZJ_32,ZJ_33,ZJ_34,ZJ_35,ZJ_36,ZJ_37,ZJ_38,ZJ_4,ZJ_5,ZJ_6,ZJ_7,ZJ_8,ZJ_9
L1_ID0056,0.0954926899692837,0.0446596099844434,0.0742735580821024,0.0749153498553159,0.0088308843005532,0,0.0303027891045489,0.0261952020284329,0.0511170203499291,0.0619483211100515,0,0.0785080319884227,0.2337582366582986,0.0880710987058872,0.0589464564660975,0.1957645523754102,0.3735825616980861,0.3072417298187304,0.1201031207445012,0,0.3693558151881133,0.8834784909813059,0.2568013856302823,0.0915991036857,0.0853942233062598,0.2835075990552386,0.099319999734151,0.1937056688723508,0,0.157029863872992,0.1108757439310388,0.1506007463643396,0.5875094604225112,0,1,0.7614694560166351,0,0.0825163485506528,0.2408932037078183,0.1410211627583751,0.2616484729265263,0.4898718773806931,0,0.2312468660101444,0.1260562770688538,0.9003995654244953,0.0839682434123747,0.1751890960215821,0.68452123712047,0.2895479356396633,0,0.1935826880426746,0.0566878479575271,0.2302682459846359,0.2735343129230973,0.0674572648781796,0.0689785935467392,0.096748663853576,0.1063960263167659,0.0868826317540644,0.0110567732539278,0.3909398659057284,0.1057505399858137,0.5025936126973499,0,0,0,0.1098544839069641,0,0.0267119293793712,0.7248479251715286,0,0,0,0.2930055375782488,0.4930808495126772,0,0,0,0,0.0583640744548501,0,0.4224203964420971,0.2258949144406094,0,0,0,0,0,0,0.1390423655930839,0,0.2672005773539105,0,0.2385791503013346,0.1678307210156937,0.2031240351383881,0.0338617011916786,0.2894021730924312,0.094516404745075,0.0540457433633903,0.0252855896448484,0.3208865109468287,0.0307863616084271,0,0.2267388422731217,0,0,0.5568522856252107,0.9509314577025472,0.2012463540784276,0,0.7100505382333862,0.0790162824134262,0,0.4512806166242071,0.0982848403726199,0.2153525867681477,0.7140563011066945,0,0,0.5630972423383264,0,0,0.0666634473471198,0,0.1682344492847794,0.0297450286183626,0,0.4444444643433191,0,0.5353260676704746,0.7748336331364127,0,0,0.0783388119578493,0,0.1200989817785606,0,0.0586268274745142,0
L2a_ID0153,0.2756032054779773,0.0411387886050889,0.0828099155367704,0.1962690594413024,0.0459609345858864,0.2361619205337379,0,0.2470524875574379,0.0128854088710056,0.177048078046687,0.038679683773777,0,0.1415733228871648,0.4372407752153507,0.1308970032638002,0,0,0.0022793864491883,0,0.0041560157422282,0,0.0252623773205858,0.1778637470232992,0,0.0712843819519121,0.3103918021755395,0.2551610293659897,0.0095092557294039,0.7861636741874707,0.1045004050593333,0.0895922221455891,0.0595358540871609,0.2638908196983305,0.422360933922251,0.5317024831281599,0.1941996265852635,0.0694873383129807,0,0.203995626624996,0.0609765003341811,0.0494984646569842,0,0.1094774443853062,0,0.0083726905794231,0.0984081082593344,0.3288059180006669,0.0071243515816054,0.0936604406232293,0.0345916700466907,0.0221012128980515,0.3531353168552864,0.1568026391549138,0.1831886625783563,0.1411724650509063,0.1016549080493458,0.0628181449688572,0.8737377119005008,0.1682306500962587,0.1365105364780738,0.056234725634587,0.1172355185989483,0.0057268328542136,0,0.1251326419300529,0.1380650300513063,0.0617348673485688,0.0062196799803607,0.0475125320098331,0.0062004553278886,0.0694441867289272,0.1738585800282424,0.3339428768294879,0.2795324966610992,0,0.1259365154860915,0.1927082188667775,0.3008641612668956,0.2167924827795679,0.5605243619901721,0.1719720601758143,0.0237379818461533,0.127312413352907,0.0781272842546756,0.0451179536624828,0.006052505785415,0.0952888679127384,0.1515212586356752,0,0.0323341765779624,0.292300857280479,0.022751487075908,0.0679240695964073,0.0456432809624203,0.2165583037801915,0.0327675035200867,0.0755006672240736,0.5211307040459745,0.0515348112212609,0.0568681188492092,0.0163126752353272,0.1656855545139418,0.3915892400573402,0.3286586849523136,0.8985090722867435,0.1076495903528127,0.3374868965981748,0.0868286728138643,0.1619063046841412,0.6036416215449275,0.514191427937064,0.1316992761676966,0.1016424452143464,0.1663099756993609,0.549540271859746,0.2341152313997507,0.1380978986461839,0.4001999434131582,0.2358511599222484,0.1203101560358896,0.0441354679765763,0.1793845638500618,0.1489940110496104,0.2109961331909222,0.0627283842207266,0.2105345666080295,0.4291651592918741,0.2875012220502327,0.8411200442633874,0.38076408481957,0.0771092087457221,0.1033420765883572,0.6179643298428378,1,0.2218651022696361,0.3045168826641821,0.7147011342156921,0.373589588580857,0.1505982835886844,0.0154050941192023,0.0738117660757853
L2a_ID0121,0,0,0,0,0,0,0.0708786747401834,0,0,0,0.0085898244445662,0,0,0,0,0,0,0,0.0496021536645522,0,0.0264910750822404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342794123171501,0,0,0,0,0,0,0,0,0,0.0330137970544989,0.0879230480476776,0,0,0,0,0,0,0,0,0,0,0,0,0.0125537122394381,0,0,0,0,0.0095097533654885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5710169842973236,0,0.7118567984481842,0.0543126186806831,0.4417086226507198,0.3794814974779892,0.7351502458155258,0.277651374563883,0.9143715215133164,0,0.1523573114771753,0,0,0.1245806662850371,0,0,0.0279747157724945,0,0,0.1368277004925614,0.0445816396234582,0.4213994777521337,0,0.0201580893479562,0,0,0.1241012301559836,0,0.1262413412702115,1,0.0651146840752108,0.4938708928959827,0.3878512564100431,0.0925774611048751,0.2893580597002512,0.17972810238759,0.4364105093907775
L2a_ID0137,0.0306531383709122,0.1496701750025031,0.113194824788163,0.0149116002294047,0.0897397069589244,0.0787801090146568,0.3211962916670688,0.0135445573806278,0.2079566728682406,0.1552187863995959,0,0,0.1665739524412978,0.2238968064797642,0.238999987491376,0.1813704023453156,0.1729983759922151,0.1273919102102414,0.0660678293899087,0.080361738838095,0.1553224623300505,0.0526390840465866,0.1928238766898708,0.1200816519562774,0.1396976574203185,0.0192275299277395,0.0141095293370355,0.1439145687257784,0.0843803042063075,0.013194811936837,0.0739800159596333,0.0231280605047281,0.0858433134351017,0.2460969180749673,0.2418506629085201,0.0638479234627572,0.7565709715048405,0.2017737871903808,0.0552227353321962,0.3760986784210415,0.0257951043987461,0.1571502236045045,0.1010630217031479,0.2306881125406037,0.0094747228982812,0.223365646897767,0.168776898182257,0.1152977015374926,0.0555858059903286,0.1478601386195425,0.0116203943803493,0.0405429062651128,0.0325765720555855,0.3595951283993113,0.1667301902950099,0.027126121233926,0.0272759585904003,0.0150595307689588,0.0106268497179076,0.0126088985665402,0.0069170855580168,0.0104247457479388,0.3169870854454963,0.173542398323593,0.0635912310776362,0,0.0875539105985228,0.1933862050211444,0,0.0844849339907348,0,0.0384698688667832,0,0.0387291072423733,0.0568318419988301,0.0469679609589282,0.0488060461319193,0,0,0,0.0993302574303368,0,0,0.0751081638990717,0,0,0,0.0957489412934865,0.0154056683828993,0.2521127722703341,0.1108072311955257,0.2541974558829686,0,0.0301713578671048,0.0695408302676257,0.026926643660318,0.2326781267747324,0.0351429968526817,0.2733875042045254,0.0449599298511799,0.0205563456106524,0.1303174888668963,0.1081293432841055,0.0165644328187224,0,0,0.1015921893296182,0.0237610579234393,0.7496624013782105,0.0757026590992728,0.071189434770696,0.110593222347759,0.0413824062834188,0.0419488352614796,0,0.0645121028361962,0.1496220396470831,0.368462246316967,0.0838444624578783,0.2511408179189294,0.1017531893135684,0.1366062738117221,0.0320869816924579,0.0189068229517371,0.0849976190776734,0,0.1152567343661192,0.045778417243258,0.0568579044879172,0.0904114000742863,0.1395014290960074,0.2174107022758441,0.3640691776025263,1,0,0,0,0,0,0.2139653931497634,0
L2a_ID0156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1878911985697668,0,0,0,0,0,0,0,0.0894591230095467,0,0,0,0,0,0,0,0,0,0,0.7402504433718883,0.7800266566679528,0.1486151434743611,0,0.3264374756476834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779853317760565,0,0,0,0.0584543805180704,0,0,0,0,0.2309357001575903,0.0679805645293716,0.3017981760102957,0,0,0,0,0.2007810716487827,0.4044822280298001,0,0.1251970237106455,0,0.0994940654250791,0,0.1562644290157744,0,0.5051011368514846,1,0,0,0,0,0,0,0,0,0,0,0.2974085845265451,0,0,0.2354511894229271,0,0,0,0.0724635065695708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191209058689869,0.0629997588941859,0.0399666155224312,0.2660144314474302,0.1266994680681649,0,0.2305576253766444,0.0309000948822516,0,0,0,0,0,0
L2a_ID0169,0.0102061835658707,0.0236772249357992,0.0011086100556478,0.0127673638987029,0,0.0213238748557654,0.0066849246402072,0.0059529454206599,0,0,0,0.0066147764436562,0.0056267349204,0.0041505544190148,0.0139275646499337,0.0033341567602638,0,0.0066373563113441,0.0018118002605588,0.0117963632192528,0,0.0164951507094659,0.0057639670722986,0.0129993384257603,0.0195125633213747,0.0341672929349446,0.0463266247804958,0.0097544884668788,0.0766549126741495,0.0831723537315024,0.0259867725960703,0.0390919389238447,0.0045086094044921,0.0009736080200458,0.001354362763921,0.0272471465348935,0.0248405539500677,0.0135822629693608,0.0036252412575168,0.0140989917096172,0.0021741301625783,0,0.0008816754834209,0,0.0108834789764146,0.0318868676944206,0.006182324937539,0,0.0100070247774507,0.0059477164324411,0.0184144036170301,0.0423915716722905,0.0003165835604108,0.0183433032130054,0.0263060654873286,0.0003802930705689,0.0539546986153939,0.099076296617548,0.0254952020796172,0.0461470139831571,0.0072405780839408,0.015616198459427,0.0069640172886249,0,0.0010203988564405,0,0.0016846713541332,0,0.0176876314647518,0.0038740252471568,0.01700002532464,0.008868197530715,0,0.0082802013414107,0.0011532373018706,0,0.0113082395138165,0.0049501081842808,0.0028630642633973,0,0.0078316203332601,0,0.0017665744034073,0.0004694292669894,0.0059001366603422,0,0.0026453681093836,0.004883664806203,0.0010184702972703,0.0088568535585624,0.0232464062715722,0.0123574919795436,0.0042246970535975,0.0276616815328734,0.0201862367679114,8.52196379097966e-05,0.030068144412074,0.0298805792145657,0,0.0016559926511741,0,0.0448824489477794,0.0552153222852394,0.0300550896736622,0.0285290105898566,0.1127362440487814,0,0.0259482784028502,0.0485503457582397,0.0026803683596976,0.0034007457006873,0.200764285056949,0,0.0542113624835187,0.0092148061271588,0.0435314250193092,0.0724746754174026,0.1666889027490352,0.1024169498422748,0.4978674864877564,0,0.1122579744643911,0.0137147056048105,0.0617929202782284,0.0246099518316375,0.2223634551408369,0.0147020143981719,0,0,0.0058180243639654,0.0478254342242884,0,0.026999966177993,0.0262002498034688,0.235870529745358,0.5316289776761616,1,0.2302534561507177,0,0.0465688162898112,0.0430813755978817
L2b_ID0264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2b_ID0313,0.0521374689525999,0.0519232715831175,0,0.1230172920555266,0,0.1597860194781024,0.1580704023453405,0.0811832007126844,0,0,0,0,0.1080338121004334,0,0,0.2281756988010137,0,0.0484171041621378,0,0,0,0,0,0,0,0.199751063793264,0,0,0,0.0760667251320649,0.0758883059126767,0,0,0,0,0.1987659349984882,0,0.4564926746339823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206854070497644,0.082955670457499,0.1480980478400488,0,0,0.2056526839572537,0.1923049286999125,0.0507665880325796,0,0,0,0,1,0,0,0.1802364901559531,0,0.129655894723394,0.3175290160996571,0.7096100485542322,0.9163843278097052,0.2131810913807693,0,0,0.4389569035679945,0,0.2556851725906556,0.3510901345944764,0.4664987849922067,0,0,0.2529453096354531,0,0,0,0,0.284253413929095,0,0,0,0.1039681920687074,0,0,0.185677580089519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561081694532422,0.3541434654587531,0.5036644554026135,0.2803284949241289,0,0,0.4884799467380525,0.3923628776014785,0,0.2546978790671644,0,0,0.135855285328208,0,0,0.4706195676386071,0,0.1858228574388661,0,0,0,0,0,0,0
L2b_ID0314,0.387570005901492,0,0,0.4222440564215179,0,0,0,0.1821410400268852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3172518510220595,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2b_ID0318,0.119627744713045,0.1067683597274888,0.2308781154935421,0.1092415554741782,0.1115816386789882,0.0566148165032316,0.055078329723431,0.2814640840763524,0.1324941159947207,0,0,0.3918577540200521,0,0,0,0.3874859290884382,0.0453875133991322,0,0,0,0.0060242990061416,0.0051123855006911,0.0133880116406328,0.0791768748474175,0.1723245453147926,0.1863784671101034,0.0473570797411368,0.2135651529032113,0,0,0.3028515571947664,0,0.137981730832523,0.053109782116465,0.1869823524106148,0,0.1368927974638614,0.0228040274469221,0,0,0,0.0638324663735417,0,0.0984291248913696,0,0,0.0893180534273865,0.0863593734767795,0,0.0841114255801881,0.0298610572993348,0,0,0,0.2575061699541148,0,0.0275597934325608,0,0,0.8398490715073103,0.0346123431317287,0.0538320066994619,0.0474135560682602,0.0923708410613987,0.0254424177471377,0.0440391866554849,0.0347658108459127,0.0152137597736072,0.0194931629794837,0.2541142053923982,0,0.2650162195637122,0,0.0715025192243438,0.0975703475275606,0.2387151757957824,0,0.5928661936507381,0.0605970745522929,0.0495127263375385,0.0660537904598594,0.4129545133568466,0,0.2050339727630479,0,0.442019043536296,0.063546374329158,0.0518304461926675,0,0.3635316602800768,0.1481968767367316,0.3390112221508435,0.0384101613176372,0,0.1064252055019659,0,0,0,0,0,0.1376532229573952,0,0.1292868500613662,0,0,0,0,0,0.1477960874950319,0,0.1349920396760128,0,0,0.2885786431683485,0,0,0.5832350660864161,0.5336447889509078,0,0,0,0,0.477251262528423,0,0.6491733782102717,0.1954644379842539,0,0.6677718737579895,0.0635352235743906,1,0,0.4993468639052268,0,0,0.2497856295061287,0,0,0.1417251427088306,0.3649915564115447,0.9847645668825524,0
